<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.05.24	20896.4	21223.5	20826.3	21152.8	3356	0	0
2019.05.27	21162.1	21284.2	21134.5	21233.5	2023	0	0
2019.05.28	21215.6	21317.8	21010.1	21031.4	18161	0	0
2019.05.29	21013.8	21081.3	20748.7	20904.7	26208	0	0
2019.05.30	20902.2	21013.7	20824.3	20968.2	20553	0	0
2019.05.31	20950.7	20978.2	20395.7	20441.2	37103	0	0
2019.06.03	20385.6	20537.1	20302.9	20476.7	37855	0	0
2019.06.04	20479.1	20740.4	20294.9	20740.4	24397	0	0
2019.06.05	20737.9	20879.6	20652.8	20796.4	14853	0	0
2019.06.06	20732.6	20917.5	20671.4	20849.8	3353	0	0
2019.06.07	20829.8	21061.1	20815.9	21053.4	3104	0	0
2019.06.10	21206.6	21250.2	21072.5	21119.9	2342	0	0
2019.06.11	21121.2	21324.2	21066.0	21168.9	2476	0	0
2019.06.12	21156.4	21242.6	21008.5	21037.2	2329	0	0
2019.06.13	21021.0	21113.5	20913.4	21048.3	2996	0	0
2019.06.14	21045.8	21103.3	20960.7	21023.1	2600	0	0
2019.06.17	21020.1	21167.7	21020.1	21120.0	1223	0	0
2019.06.18	21130.0	21242.4	20889.7	21234.9	3215	0	0
2019.06.19	21226.2	21352.2	21214.8	21322.2	2363	0	0
2019.06.20	21319.7	21607.3	21314.7	21460.8	2818	0	0
2019.06.21	21459.6	21485.0	21169.1	21172.7	3191	0	0
2019.06.24	21157.3	21296.2	21147.4	21195.9	2844	0	0
2019.06.25	21193.4	21276.0	21039.2	21065.6	2961	0	0
2019.06.26	21063.1	21253.1	21030.5	21105.4	2288	0	0
2019.06.27	21102.9	21323.0	21092.9	21234.1	2424	0	0
2019.06.28	21231.6	21395.2	21178.8	21375.1	1902	0	0
2019.07.01	21604.9	21836.1	21551.1	21702.2	2358	0	0
2019.07.02	21699.7	21774.7	21597.5	21709.5	2002	0	0
2019.07.03	21722.0	21722.0	21554.3	21715.6	1566	0	0
2019.07.04	21731.7	21739.2	21656.6	21679.0	723	0	0
2019.07.05	21676.5	21723.9	21581.2	21682.6	1936	0	0
2019.07.08	21680.1	21728.3	21483.0	21598.0	1604	0	0
2019.07.09	21585.5	21674.1	21467.7	21531.7	1858	0	0
2019.07.10	21529.2	21637.6	21487.5	21552.5	1719	0	0
2019.07.11	21550.0	21647.4	21522.4	21617.3	1709	0	0
2019.07.12	21604.8	21698.4	21570.9	21588.4	1387	0	0
2019.07.15	21602.0	21696.5	21521.5	21611.3	950	0	0
2019.07.16	21608.8	21636.3	21456.1	21476.0	1812	0	0
2019.07.17	21473.5	21474.6	21295.6	21295.6	1687	0	0
2019.07.18	21295.2	21325.6	20969.1	21170.3	2637	0	0
2019.07.19	21167.8	21455.4	21097.8	21270.2	2630	0	0
2019.07.22	21292.2	21424.7	21280.1	21410.9	2186	0	0
