Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
BKH,"Black Hills Corp",58.24,0.53,+0.92%,58.02,58.55,57.65,749500,2024-08-23
BKSY,"Blacksky Technology Inc",1.31,0.12,+10.08%,1.2,1.33,1.2,1320100,2024-08-23
BKU,"BankUnited Inc",38.64,2.01,+5.49%,36.92,39.17,36.86,625300,2024-08-23
BL,"Blackline Inc",50.83,1.33,+2.69%,50,50.98,49.54,730200,2024-08-23
BLBD,"Blue Bird Corp",48.96,2.47,+5.30%,47,49.48,46.99,418300,2024-08-23
BLDE,"Blade Air Mobility Inc",3.12,0.11,+3.65%,3.03,3.17,3.01,410700,2024-08-23
BLFS,"Biolife Solutions",25.3,0.85,+3.48%,24.63,25.43,24.26,415600,2024-08-23
BLFY,"Blue Foundry Bancorp",10.8,0.52,+5.06%,10.32,10.96,10.25,48400,2024-08-23
BLKB,"Blackbaud Inc",81.77,2.29,+2.88%,80,81.94,79.96,278900,2024-08-23
BLMN,"Bloomin' Brands Inc",18.18,0.17,+0.94%,18.04,18.72,17.92,1255600,2024-08-23
BLND,"Blend Labs Inc Cl A",3.74,0.26,+7.47%,3.52,3.83,3.46,5740700,2024-08-23
BLNK,"Blink Charging Company",2.1,0.09,+4.48%,2.04,2.15,2.02,5076200,2024-08-23
BLUE,"Bluebird Bio",0.6887,0.0117,+1.73%,0.69,0.71,0.665,4788300,2024-08-23
BLX,"Banco Latinoamericano DE Comercio",30.29,0.64,+2.16%,29.9,30.57,29.55,118900,2024-08-23
BLZE,"Backblaze Inc Cl A",6.59,0.41,+6.72%,6.2,6.64,6.18,835500,2024-08-23
BMBL,"Bumble Inc",6.67,0.19,+2.93%,6.49,6.69,6.36,2982700,2024-08-23
BMEA,"Biomea Fusion Inc",7.61,0.74,+10.69%,6.92,8.25,6.82,1130600,2024-08-23
BMI,"Badger Meter",202.94,-0.02,-0.01%,204,206.44,202.83,142300,2024-08-23
BMRC,"Bank of Marin Bancrp",20.49,0.95,+4.86%,19.78,20.74,19.67,109200,2024-08-23
BNL,"Broadstone Net Lease Inc Cl A",18.17,0.22,+1.23%,18.05,18.32,17.99,850500,2024-08-23
BOC,"Boston Omaha Corp Cl A",13.91,0.48,+3.57%,13.55,13.99,13.52,99500,2024-08-23
BOH,"Bank of Hawaii Corp",67.86,3.47,+5.39%,65,68.72,64.363,486300,2024-08-23
BOLD,"Boundless Bio Inc",3.74,0.09,+2.47%,3.66,3.82,3.45,130000,2024-08-23
BOOM,"Dynamic Materials",11.9,0.74,+6.63%,11.24,11.94,11.24,188000,2024-08-23
BOOT,"Boot Barn Holdings Inc",142.39,3.59,+2.59%,140.52,143.02,138.92,568100,2024-08-23
BORR,"Borr Drilling Ltd",6.44,0.41,+6.80%,6.14,6.46,6.135,1981800,2024-08-23
BOX,"Box Inc",28.47,0.33,+1.17%,28.31,28.6,28.15,1604200,2024-08-23
BPMC,"Blueprint Medicines Corp",94.55,1.04,+1.11%,94.34,95.39,93.59,298700,2024-08-23
BPRN,"Princeton Bancorp Inc",38.09,1.89,+5.22%,36.75,38.09,36.75,11200,2024-08-23
BRCC,"Brc Inc Cl A",4.36,0.22,+5.31%,4.2,4.43,4.16,1141100,2024-08-23
BRKL,"Brookline Bancorp",10.23,0.44,+4.49%,9.83,10.34,9.81,1177400,2024-08-23
BRSP,"Brightspire Capital Inc",5.81,0.17,+3.01%,5.7,5.86,5.67,602200,2024-08-23
BRT,"BRT Realty Trust",18.44,0.53,+2.96%,17.98,18.79,17.98,26900,2024-08-23
BRY,"Berry Pete Corp",6.23,-0.05,-0.80%,6.2,6.28,6.14,1058200,2024-08-23
BRZE,"Braze Inc Cl A",44.86,1.39,+3.20%,44.03,44.93,43.58,677100,2024-08-23
BSIG,"Brightsphere Investment Group Plc",23.64,0.44,+1.90%,23.37,23.77,23.2,137900,2024-08-23
BSRR,"Sierra Bancorp",29.9,2.07,+7.44%,28.17,30.55,28.17,57200,2024-08-23
BSVN,"Bank7 Corp",39.34,2.02,+5.41%,37.16,39.6,37.03,9600,2024-08-23
BTBT,"Bit Digital Inc",3.83,0.04,+1.06%,3.84,3.87,3.61,10352100,2024-08-23
BTMD,"Biote Corp",5.96,0.21,+3.65%,5.8,6.02,5.8,96100,2024-08-23
BTSG,"Brightspring Health Services Inc",12.57,0.6,+5.01%,12.08,12.57,11.96,876800,2024-08-23
BTU,"Peabody Energy Corp",23.48,0.17,+0.73%,23.36,23.53,22.93,2111500,2024-08-23
