Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
AMBP,"Ardagh Metal Packaging S.A.",3.53,0.08,+2.32%,3.45,3.565,3.45,957700,2024-08-23
AMC,"AMC Entertainment Holdings",5.05,0.13,+2.64%,4.96,5.07,4.93,9168400,2024-08-23
AMCX,"AMC Networks Cl A",10.43,0.05,+0.48%,10.5,10.7,10.39,574600,2024-08-23
AMK,"Assetmark Financial Holdings Inc",35.04,0.039999999999999,+0.11%,35.05,35.07,35,286300,2024-08-23
AMN,"Amn Healthcare Services Inc",53.37,2.73,+5.39%,51.08,53.67,50.94,615300,2024-08-23
AMPH,"Amphastar Pharma",47.95,0.72,+1.52%,47.43,48.31,47.43,358800,2024-08-23
AMPL,"Amplitude Inc Cl A",8.81,0.31,+3.65%,8.61,8.86,8.58,341800,2024-08-23
AMPS,"Altus Power Inc",3.06,0.23,+8.13%,2.84,3.105,2.84,1395000,2024-08-23
AMPX,"Amprius Technologies Inc",1.14,0.07,+6.54%,1.05,1.17,1.05,560200,2024-08-23
AMPY,"Amplify Energy Corp",7.15,0.24,+3.47%,6.96,7.155,6.96,289500,2024-08-23
AMR,"Alpha Metallurgical Resources Inc",226.34,0.52000000000001,+0.23%,226.97,231.2,222.48,315200,2024-08-23
AMRC,"Ameresco Inc",29.68,2.13,+7.73%,27.83,29.72,27.63,224600,2024-08-23
AMRK,"A-Mark Precious Meta",37.56,1.35,+3.73%,36.45,37.64,36.28,329600,2024-08-23
AMRX,"Amneal Pharmaceuticals Inc",8.38,0.33,+4.10%,8.11,8.4,8.04,1836200,2024-08-23
AMSC,"Amer Superconductor",21.28,1.31,+6.53%,20.21,21.59,20.11,725500,2024-08-23
AMSF,"Amerisafe Inc",49.33,0.73,+1.50%,48.78,49.91,48.58,69600,2024-08-23
AMSWA,"Amer Software Inc",11.06,0.8,+7.80%,11,11.97,10.86,1690600,2024-08-23
AMTB,"Mercantil Bank Holding Cl A",22.07,1.35,+6.52%,20.93,22.47,20.68,139800,2024-08-23
AMTX,"Aemetis Inc",2.64,0.15,+6.02%,2.51,2.66,2.49,539900,2024-08-23
AMWD,"Amer Woodmark Corp",99.74,4.51,+4.74%,96.05,100.62,96.05,184800,2024-08-23
ANAB,"Anaptysbio Inc",37.75,0.46,+1.23%,37.51,38.05,36.72,252000,2024-08-23
ANDE,"Andersons Inc",49.91,1.08,+2.21%,49.05,50.58,48.99,152300,2024-08-23
ANF,"Abercrombie & Fitch Company",169.83,4.63,+2.80%,166.35,171.47,165.94,1122900,2024-08-23
ANGO,"Angiodynamics Inc",7.68,0.17,+2.26%,7.59,7.86,7.53,427200,2024-08-23
ANIK,"Anika Therapeutics",25.59,0.77,+3.10%,24.86,25.75,24.74,45500,2024-08-23
ANIP,"ANI Pharma Inc",61.68,1.16,+1.92%,61.01,61.99,60.34,102500,2024-08-23
ANNX,"Annexon Inc",5.89,0.09,+1.55%,5.81,6,5.71,1212000,2024-08-23
ANRO,"Alto Neuroscience Inc",11.41,0.75,+7.04%,10.69,11.42,10.69,84000,2024-08-23
AOMR,"Angel Oak Mortgage REIT Inc",11.13,0.08,+0.72%,11.09,11.21,10.95,138200,2024-08-23
AORT,"Artivion Inc",26.22,0.7,+2.74%,25.78,26.55,25.52,188900,2024-08-23
AOSL,"Alpha and Omega Semi",38.33,1.88,+5.16%,37.04,38.96,37.04,234100,2024-08-23
APAM,"Artisan Partners Asset Mgmt",42.07,0.78,+1.89%,41.63,42.51,41.5,330700,2024-08-23
APEI,"American Public Education",15.71,0.95,+6.44%,15.06,15.71,14.98,246900,2024-08-23
APGE,"Apogee Therapeutics Inc",48.36,0.54,+1.13%,48.14,48.98,46.74,384300,2024-08-23
APLD,"Applied Digital Corp",4.55,0.46,+11.25%,4.12,4.64,4.08,5238100,2024-08-23
APLE,"Apple Hospitality REIT Inc",14.5,0.23,+1.61%,14.37,14.62,14.3,1538900,2024-08-23
APLT,"Applied Therapeutics Inc",5.77,0.17,+3.04%,5.63,5.8,5.53,886000,2024-08-23
APOG,"Apogee Entrpr Inc",67.26,3.26,+5.09%,64.71,67.46,64.52,96500,2024-08-23
APPN,"Appian Corp Cl A",31.45,0.65,+2.11%,31.36,31.78,31.23,363100,2024-08-23
APPS,"Digital Turbine",3.98,0.37,+10.25%,3.65,4.24,3.65,4030200,2024-08-23
AQST,"Aquestive Therapeutics Inc",4.46,0.15,+3.48%,4.38,4.55,4.32,742900,2024-08-23
ARAY,"Accuray Inc",2.28,0.01,+0.44%,2.28,2.41,2.27,754700,2024-08-23
ARCB,"Arcbest Corp",111.06,4.24,+3.97%,107.18,111.6,107.18,138500,2024-08-23
ARCH,"Arch Resources Inc",124.98,4.21,+3.49%,121.16,125.77,119.645,512200,2024-08-23
ARCT,"Arcturus Therapeutics Ltd",21.99,0.52,+2.42%,21.83,22.25,21.34,248000,2024-08-23
ARDX,"Ardelyx Inc",6.35,0.3,+4.96%,6.04,6.48,6.03,4015300,2024-08-23
ARHS,"Arhaus Inc Cl A",12.71,0.91,+7.71%,11.96,12.84,11.84,1363600,2024-08-23
