,DATE,TIME,OPEN,HIGH,LOW,CLOSE,TICKVOL,VOL,SPREAD
0,2024.01.02,01:00:00,16859.8,16859.8,16851.6,16853.7,231,0,17
1,2024.01.02,01:05:00,16854.5,16861.1,16853.7,16861.1,46,0,17
2,2024.01.02,01:10:00,16860.2,16864.1,16859.5,16863.3,38,0,17
3,2024.01.02,01:15:00,16865.0,16867.7,16864.2,16866.7,14,0,17
4,2024.01.02,01:20:00,16865.3,16870.0,16864.6,16870.0,20,0,17
5,2024.01.02,01:25:00,16870.7,16874.2,16869.7,16870.8,22,0,17
6,2024.01.02,01:30:00,16870.1,16873.3,16869.8,16869.8,14,0,17
7,2024.01.02,01:35:00,16869.1,16870.1,16868.2,16870.1,8,0,17
8,2024.01.02,01:40:00,16869.1,16870.7,16865.1,16865.1,17,0,17
9,2024.01.02,01:45:00,16865.8,16866.6,16864.8,16866.3,8,0,17
10,2024.01.02,01:50:00,16867.0,16868.3,16865.3,16867.6,8,0,17
11,2024.01.02,01:55:00,16866.8,16866.8,16866.8,16866.8,1,0,17
12,2024.01.02,02:00:00,16867.5,16867.5,16865.3,16867.0,15,0,17
13,2024.01.02,02:05:00,16866.2,16866.7,16865.3,16866.7,7,0,17
14,2024.01.02,02:10:00,16866.0,16866.0,16864.3,16865.3,6,0,17
15,2024.01.02,02:15:00,16866.0,16866.0,16862.8,16862.8,7,0,17
16,2024.01.02,02:20:00,16863.5,16863.5,16861.3,16862.7,8,0,17
17,2024.01.02,02:25:00,16861.8,16861.8,16856.7,16856.7,11,0,17
18,2024.01.02,02:30:00,16857.5,16860.1,16856.1,16860.1,10,0,17
19,2024.01.02,02:35:00,16861.1,16864.6,16860.3,16864.6,11,0,17
20,2024.01.02,02:40:00,16863.7,16863.7,16861.6,16863.1,6,0,17
21,2024.01.02,02:45:00,16863.8,16863.8,16862.2,16863.1,10,0,17
22,2024.01.02,02:50:00,16863.8,16864.5,16863.5,16863.6,7,0,17
23,2024.01.02,02:55:00,16864.3,16864.7,16863.6,16864.7,3,0,17
24,2024.01.02,03:00:00,16864.0,16874.0,16864.0,16873.3,22,0,17
25,2024.01.02,03:05:00,16872.6,16875.7,16869.8,16869.8,17,0,17
26,2024.01.02,03:10:00,16870.5,16870.5,16866.8,16867.1,18,0,17
27,2024.01.02,03:15:00,16868.3,16873.2,16868.3,16873.2,11,0,17
28,2024.01.02,03:20:00,16871.2,16871.3,16868.8,16871.1,11,0,17
29,2024.01.02,03:25:00,16870.3,16871.0,16865.1,16866.7,15,0,17
30,2024.01.02,03:30:00,16865.8,16869.0,16863.8,16863.8,18,0,17
31,2024.01.02,03:35:00,16863.0,16863.1,16856.6,16857.3,25,0,17
32,2024.01.02,03:40:00,16856.6,16857.3,16848.7,16851.5,29,0,17
33,2024.01.02,03:45:00,16852.3,16859.1,16851.3,16852.1,38,0,17
34,2024.01.02,03:50:00,16852.8,16855.8,16851.3,16855.0,21,0,17
35,2024.01.02,03:55:00,16855.8,16855.8,16851.8,16852.5,17,0,17
36,2024.01.02,04:00:00,16851.8,16855.8,16851.8,16855.7,16,0,17
37,2024.01.02,04:05:00,16854.8,16855.7,16854.3,16855.7,6,0,17
38,2024.01.02,04:10:00,16855.0,16855.1,16854.2,16854.2,4,0,17
39,2024.01.02,04:15:00,16853.5,16854.0,16850.1,16851.0,12,0,17
40,2024.01.02,04:20:00,16850.3,16853.2,16849.3,16851.0,16,0,17
41,2024.01.02,04:25:00,16851.7,16851.7,16847.8,16848.6,18,0,17
42,2024.01.02,04:30:00,16849.3,16850.1,16846.3,16849.1,21,0,17
43,2024.01.02,04:35:00,16850.1,16850.1,16844.1,16847.6,17,0,17
44,2024.01.02,04:40:00,16848.3,16849.8,16846.0,16849.1,13,0,17
45,2024.01.02,04:45:00,16848.3,16849.1,16847.5,16847.7,10,0,17
46,2024.01.02,04:50:00,16846.8,16846.8,16839.1,16840.5,20,0,17
47,2024.01.02,04:55:00,16841.5,16845.8,16840.8,16845.8,13,0,17
48,2024.01.02,05:00:00,16846.5,16847.7,16845.3,16845.3,10,0,17
49,2024.01.02,05:05:00,16846.1,16848.5,16846.1,16847.8,9,0,17
50,2024.01.02,05:10:00,16848.6,16850.3,16848.6,16849.1,7,0,17
51,2024.01.02,05:15:00,16848.3,16848.3,16844.6,16844.6,7,0,17
52,2024.01.02,05:20:00,16843.8,16844.7,16842.3,16843.1,6,0,17
53,2024.01.02,05:25:00,16842.3,16847.1,16842.3,16847.1,7,0,17
54,2024.01.02,05:30:00,16846.3,16847.0,16845.5,16846.2,6,0,17
55,2024.01.02,05:35:00,16845.5,16845.5,16840.8,16843.3,10,0,17
56,2024.01.02,05:40:00,16842.6,16845.3,16842.6,16845.3,4,0,17
57,2024.01.02,05:45:00,16846.1,16847.0,16844.6,16844.6,7,0,17
58,2024.01.02,05:50:00,16843.8,16843.8,16839.8,16841.3,10,0,17
59,2024.01.02,05:55:00,16842.0,16844.5,16842.0,16844.5,4,0,17
60,2024.01.02,06:00:00,16843.7,16843.7,16840.8,16841.6,10,0,17
61,2024.01.02,06:05:00,16842.3,16843.0,16842.3,16842.3,3,0,17
62,2024.01.02,06:10:00,16843.0,16845.5,16842.3,16845.5,8,0,17
63,2024.01.02,06:15:00,16844.8,16844.8,16844.8,16844.8,1,0,17
64,2024.01.02,06:20:00,16844.4,16845.0,16843.6,16845.0,7,0,17
65,2024.01.02,06:25:00,16844.3,16845.1,16844.3,16845.1,2,0,17
66,2024.01.02,06:30:00,16845.8,16847.6,16845.1,16847.6,5,0,17
67,2024.01.02,06:35:00,16848.3,16849.8,16847.5,16849.8,5,0,17
68,2024.01.02,06:40:00,16849.1,16850.6,16847.1,16847.1,7,0,17
69,2024.01.02,06:45:00,16847.8,16848.6,16847.8,16847.8,3,0,17
70,2024.01.02,06:50:00,16847.1,16847.8,16847.1,16847.1,3,0,17
71,2024.01.02,06:55:00,16847.8,16847.8,16844.8,16844.8,7,0,17
72,2024.01.02,07:00:00,16845.5,16848.8,16844.8,16847.3,13,0,17
73,2024.01.02,07:05:00,16846.6,16846.8,16844.3,16846.8,9,0,17
74,2024.01.02,07:10:00,16847.5,16853.6,16847.5,16853.6,11,0,17
75,2024.01.02,07:15:00,16852.8,16853.6,16851.3,16851.8,12,0,17
76,2024.01.02,07:20:00,16852.8,16853.7,16850.6,16852.6,13,0,17
77,2024.01.02,07:25:00,16854.0,16855.7,16853.8,16853.8,9,0,17
78,2024.01.02,07:30:00,16854.5,16855.5,16853.8,16854.8,5,0,17
79,2024.01.02,07:35:00,16855.5,16855.5,16853.2,16854.1,11,0,17
80,2024.01.02,07:40:00,16855.0,16855.7,16855.0,16855.7,2,0,17
81,2024.01.02,07:45:00,16854.8,16855.6,16854.0,16854.0,4,0,17
82,2024.01.02,07:50:00,16854.8,16856.3,16854.8,16855.6,8,0,17
83,2024.01.02,07:55:00,16854.8,16856.0,16854.8,16855.3,5,0,17
84,2024.01.02,08:00:00,16856.1,16856.8,16853.5,16854.1,10,0,17
85,2024.01.02,08:05:00,16854.8,16854.8,16850.1,16850.8,11,0,17
86,2024.01.02,08:10:00,16850.1,16850.8,16848.3,16848.6,9,0,17
87,2024.01.02,08:15:00,16847.8,16848.6,16847.8,16847.8,3,0,17
88,2024.01.02,08:20:00,16848.5,16849.2,16848.2,16849.1,4,0,17
89,2024.01.02,08:25:00,16850.0,16850.0,16848.6,16849.0,7,0,17
90,2024.01.02,08:30:00,16849.7,16849.7,16847.1,16847.1,6,0,17
91,2024.01.02,08:35:00,16847.8,16848.5,16845.3,16846.0,9,0,17
92,2024.01.02,08:40:00,16846.3,16848.0,16844.8,16848.0,8,0,17
93,2024.01.02,08:45:00,16848.8,16851.5,16847.1,16848.8,15,0,17
94,2024.01.02,08:50:00,16848.1,16848.1,16845.6,16845.6,4,0,17
95,2024.01.02,08:55:00,16844.8,16845.0,16841.1,16841.8,12,0,17
96,2024.01.02,09:00:00,16842.7,16847.0,16841.6,16842.3,27,0,17
97,2024.01.02,09:05:00,16843.0,16846.6,16842.8,16846.6,12,0,17
98,2024.01.02,09:10:00,16847.6,16856.7,16847.6,16855.1,22,0,17
99,2024.01.02,09:15:00,16856.5,16859.2,16854.6,16858.3,20,0,17
100,2024.01.02,09:20:00,16859.1,16860.1,16857.1,16860.0,11,0,17
101,2024.01.02,09:25:00,16859.3,16860.0,16856.3,16857.5,15,0,17
102,2024.01.02,09:30:00,16858.2,16858.2,16855.7,16857.1,17,0,17
103,2024.01.02,09:35:00,16856.2,16858.0,16856.2,16856.3,7,0,17
104,2024.01.02,09:40:00,16857.0,16857.0,16851.2,16851.8,16,0,17
105,2024.01.02,09:45:00,16850.8,16855.1,16849.8,16853.1,17,0,17
106,2024.01.02,09:50:00,16854.2,16855.8,16851.2,16852.8,15,0,17
107,2024.01.02,09:55:00,16852.1,16856.5,16852.1,16854.3,23,0,17
108,2024.01.02,10:00:00,16853.6,16866.5,16853.6,16865.7,52,0,17
109,2024.01.02,10:05:00,16864.8,16868.5,16860.3,16862.1,67,0,17
110,2024.01.02,10:10:00,16860.7,16864.5,16860.3,16863.2,73,0,17
111,2024.01.02,10:15:00,16862.3,16866.5,16860.6,16866.0,89,0,17
112,2024.01.02,10:20:00,16865.1,16869.8,16862.0,16868.7,64,0,17
113,2024.01.02,10:25:00,16869.5,16871.7,16867.2,16870.3,48,0,17
114,2024.01.02,10:30:00,16871.0,16873.8,16870.8,16873.0,21,0,17
115,2024.01.02,10:35:00,16873.0,16873.1,16869.6,16871.5,45,0,17
116,2024.01.02,10:40:00,16872.2,16872.2,16869.2,16870.5,22,0,17
117,2024.01.02,10:45:00,16869.8,16870.0,16865.3,16865.6,48,0,17
118,2024.01.02,10:50:00,16866.7,16867.0,16864.6,16866.1,32,0,17
119,2024.01.02,10:55:00,16865.3,16867.5,16863.6,16864.5,25,0,17
120,2024.01.02,11:00:00,16865.3,16865.3,16853.1,16853.1,36,0,17
121,2024.01.02,11:05:00,16853.8,16853.8,16845.8,16849.6,44,0,17
122,2024.01.02,11:10:00,16848.8,16848.8,16838.8,16841.0,47,0,17
123,2024.01.02,11:15:00,16840.3,16840.3,16836.1,16838.3,35,0,17
124,2024.01.02,11:20:00,16838.7,16842.1,16835.8,16837.8,47,0,17
125,2024.01.02,11:25:00,16837.1,16842.3,16836.8,16842.3,28,0,17
126,2024.01.02,11:30:00,16841.6,16842.2,16839.6,16840.8,17,0,17
127,2024.01.02,11:35:00,16840.1,16840.1,16832.2,16832.2,34,0,17
128,2024.01.02,11:40:00,16831.3,16834.6,16828.1,16834.3,48,0,17
129,2024.01.02,11:45:00,16833.3,16837.0,16832.6,16833.1,29,0,17
130,2024.01.02,11:50:00,16833.8,16833.8,16825.8,16828.3,48,0,17
131,2024.01.02,11:55:00,16827.3,16834.0,16827.1,16832.0,38,0,17
132,2024.01.02,12:00:00,16832.5,16834.0,16829.8,16832.0,28,0,17
133,2024.01.02,12:05:00,16831.0,16834.3,16828.0,16828.0,40,0,17
134,2024.01.02,12:10:00,16828.8,16830.7,16822.2,16823.8,45,0,17
135,2024.01.02,12:15:00,16825.3,16830.2,16825.3,16827.8,47,0,17
136,2024.01.02,12:20:00,16828.5,16832.0,16827.6,16827.6,20,0,17
137,2024.01.02,12:25:00,16826.8,16827.8,16819.8,16823.6,36,0,17
138,2024.01.02,12:30:00,16824.5,16826.5,16823.6,16824.5,38,0,17
139,2024.01.02,12:35:00,16825.3,16829.1,16825.0,16829.1,22,0,17
140,2024.01.02,12:40:00,16830.1,16834.8,16829.8,16831.6,43,0,17
141,2024.01.02,12:45:00,16832.3,16832.3,16825.6,16825.8,35,0,17
142,2024.01.02,12:50:00,16826.6,16827.0,16816.1,16818.1,53,0,17
143,2024.01.02,12:55:00,16818.8,16820.3,16806.1,16808.8,98,0,17
144,2024.01.02,13:00:00,16807.7,16810.1,16803.8,16809.5,53,0,17
145,2024.01.02,13:05:00,16810.8,16813.7,16780.2,16785.8,195,0,17
146,2024.01.02,13:10:00,16787.0,16789.3,16770.1,16770.3,177,0,17
147,2024.01.02,13:15:00,16771.1,16771.7,16731.1,16738.7,487,0,17
148,2024.01.02,13:20:00,16739.5,16747.0,16730.7,16739.7,199,0,17
149,2024.01.02,13:25:00,16740.0,16741.0,16713.5,16715.2,278,0,17
150,2024.01.02,13:30:00,16715.2,16719.2,16704.5,16704.8,348,0,17
151,2024.01.02,13:35:00,16704.1,16704.3,16683.3,16697.0,366,0,17
152,2024.01.02,13:40:00,16697.0,16702.1,16692.0,16701.5,221,0,17
153,2024.01.02,13:45:00,16701.3,16709.2,16699.3,16704.8,126,0,17
154,2024.01.02,13:50:00,16705.2,16709.7,16701.1,16706.6,151,0,17
155,2024.01.02,13:55:00,16707.6,16715.3,16707.0,16712.5,87,0,17
156,2024.01.02,14:00:00,16713.3,16715.5,16704.5,16705.2,131,0,17
157,2024.01.02,14:05:00,16706.1,16707.7,16685.2,16702.2,251,0,17
158,2024.01.02,14:10:00,16702.2,16710.5,16700.2,16707.2,112,0,17
159,2024.01.02,14:15:00,16706.5,16707.5,16689.7,16689.7,115,0,17
160,2024.01.02,14:20:00,16690.5,16704.3,16688.7,16702.3,114,0,17
161,2024.01.02,14:25:00,16702.2,16705.2,16694.8,16696.8,92,0,17
162,2024.01.02,14:30:00,16695.8,16700.5,16692.3,16700.5,75,0,17
163,2024.01.02,14:35:00,16699.6,16700.1,16690.2,16694.2,95,0,17
164,2024.01.02,14:40:00,16694.1,16699.0,16688.8,16688.8,100,0,17
165,2024.01.02,14:45:00,16689.6,16693.2,16684.1,16684.1,102,0,17
166,2024.01.02,14:50:00,16683.1,16685.5,16669.8,16672.6,155,0,17
167,2024.01.02,14:55:00,16672.7,16673.6,16654.7,16660.8,217,0,17
168,2024.01.02,15:00:00,16660.0,16668.6,16657.3,16666.3,118,0,17
169,2024.01.02,15:05:00,16667.3,16669.1,16660.6,16666.2,91,0,17
170,2024.01.02,15:10:00,16665.5,16666.5,16658.3,16658.3,99,0,17
171,2024.01.02,15:15:00,16657.8,16663.7,16656.8,16660.3,79,0,17
172,2024.01.02,15:20:00,16661.1,16663.2,16654.6,16662.0,81,0,17
