<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.01.02	1540.517	1550.454	1530.845	1546.262	25367	37698	0
2018.01.03	1546.187	1555.123	1545.341	1551.489	459505	31181	0
2018.01.04	1551.357	1561.496	1550.296	1554.968	509909	33653	0
2018.01.05	1554.770	1560.006	1549.204	1559.394	455512	31083	0
2018.01.08	1558.890	1563.483	1544.633	1559.996	23547	34244	0
2018.01.09	1559.995	1565.318	1556.434	1556.934	420048	31964	0
2018.01.10	1556.885	1561.707	1546.145	1558.691	617482	46023	0
2018.01.11	1558.639	1587.358	1556.677	1584.364	505717	39280	0
2018.01.12	1584.414	1599.521	1582.889	1593.138	528445	40962	0
2018.01.15	1594.083	1598.926	1587.393	1590.090	7373	11386	0
2018.01.16	1592.223	1604.853	1568.456	1575.900	44191	60362	0
2018.01.17	1575.726	1591.161	1573.627	1587.145	705171	48849	0
2018.01.18	1587.120	1589.871	1572.122	1573.871	698512	47405	0
2018.01.19	1573.821	1599.473	1570.283	1597.126	684163	42976	0
2018.01.22	1590.132	1606.944	1588.459	1604.523	22922	32393	0
2018.01.23	1604.374	1614.270	1597.906	1609.204	637312	39884	0
2018.01.24	1609.104	1617.220	1594.525	1599.349	719590	56977	0
2018.01.25	1599.250	1610.361	1592.732	1602.481	731786	48820	0
2018.01.26	1602.432	1607.998	1598.060	1607.012	571991	33796	0
2018.01.29	1606.610	1611.007	1595.178	1596.478	57365	62428	0
2018.01.30	1596.478	1597.583	1577.651	1583.630	1125404	100493	0
2018.01.31	1583.403	1594.888	1569.122	1574.569	875230	72338	0
2018.02.01	1574.519	1583.275	1563.853	1579.799	996286	84400	0
2018.02.02	1579.798	1581.303	1541.101	1542.717	1317193	132901	0
2018.02.05	1542.935	1546.781	1445.375	1465.284	197280	218848	0
2018.02.06	1464.899	1512.225	1408.864	1500.337	3821805	271261	0
2018.02.07	1500.026	1516.455	1485.999	1494.925	2070319	202365	0
2018.02.08	1494.609	1510.709	1460.584	1463.731	2158942	193702	0
2018.02.09	1462.752	1488.043	1432.532	1474.980	2578578	262562	0
2018.02.12	1480.392	1497.284	1462.551	1486.644	125038	138121	0
2018.02.13	1486.348	1496.344	1474.571	1494.849	1290304	103005	0
