,0050.TW,0051.TW,0052.TW,0053.TW,0055.TW,0056.TW,0057.TW,0061.TW,1101.TW,1102.TW,1103.TW,1104.TW,1108.TW,1109.TW,1110.TW,1201.TW,1203.TW,1210.TW,1213.TW,1216.TW,1217.TW,1218.TW,1219.TW,1220.TW,1225.TW,1227.TW,1229.TW,1231.TW,1232.TW,1233.TW,1234.TW,1236.TW,1240.TWO,1256.TW,1259.TWO,1264.TWO,1268.TWO,1301.TW,1303.TW,1304.TW,1305.TW,1307.TW,1308.TW,1309.TW,1310.TW,1312.TW,1313.TW,1314.TW
2021-09-06,,,,,,,,0.10158748031915422,,,,,,,,,-0.05773496502117795,,,,,,,,,-0.44226503497882197,,,,0.19300401468790931,,,,,,,,,,,,0.2054085049929364,,,,,,
2021-09-07,,,,,,,,0.08290713198942772,,,,,,,,,-0.09913937854806534,,,,,,,,,-0.40086062145193463,,,,0.21007240033323618,,,,,,,,,,,,0.20702046767733617,,,,,,
2021-09-08,,,,,,,,0.06065851402607684,,,,,,,,,-0.044877061180421896,,,,,,,,,-0.45512293881957816,,,,0.2267012193104808,,,,,,,,,,,,0.2126402666634423,,,,,,
2021-09-09,,,,,,,,0.05319973836906964,,,,,,,,,-0.09305190962946813,,,,,,,,,-0.4069480903705318,,,,0.2371017740222434,,,,,,,,,,,,0.20969848760868703,,,,,,
2021-09-10,,,,,,,,0.044803389394232854,,,,,,,,,-0.0856837343210824,,,,,,,,,-0.4143162656789176,,,,0.24764894697541714,,,,,,,,,,,,0.20754766363035007,,,,,,
2021-09-13,,,,,,,,0.06873603403907316,,,,,,,,,-0.08320551934413956,,,,,,,,,-0.41679448065586044,,,,0.24053913463605725,,,,,,,,,,,,0.19072483132486948,,,,,,
2021-09-14,,,,,,,,0.06215470604364618,,,,,,,,,-0.07634640955211042,,,,,,,,,-0.4236535904478896,,,,0.24547061315095495,,,,,,,,,,,,0.19237468080539893,,,,,,
2021-09-15,,,,,,,,-0.0018257512581035034,,,,,,,,,-0.09744172176726536,,,,,,,,,-0.4007325269746312,,,,0.168157822935119,,,,,0.2067882452455018,,,,,,,0.12505393181937924,,,,,,
2021-09-16,,,,,,,,0.032628725999492326,,,,,,,,,-0.06062720533199587,,,,,,,,,-0.43937279466800394,,,,0.248779285719771,,,,,,,,,,,,0.21859198828073687,,,,,,
2021-09-17,,,,,,,,0.024029754493821758,,,,,,,,,-0.05183569762598247,,,,,,,,,-0.4481643023740175,,,,0.25095747780026384,,,,,,,,,,,,0.2250127677059145,,,,,,
