<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.01.03	01:00:00	11044.6	11044.6	10955.4	10970.2	3471	0	27
2023.01.03	02:00:00	10968.8	10970.8	10912.9	10914.6	2874	0	27
2023.01.03	03:00:00	10914.8	10915.1	10869.3	10902.8	4524	0	27
2023.01.03	04:00:00	10901.9	10933.3	10893.1	10927.4	2822	0	27
2023.01.03	05:00:00	10926.7	10951.9	10922.8	10950.2	1877	0	27
2023.01.03	06:00:00	10951.3	10954.8	10938.8	10939.7	726	0	27
2023.01.03	07:00:00	10939.6	10974.2	10939.4	10967.8	1680	0	27
2023.01.03	08:00:00	10966.9	10982.1	10951.9	10968.6	1608	0	27
2023.01.03	09:00:00	10966.7	11005.1	10951.9	11004.1	3032	0	27
2023.01.03	10:00:00	11003.8	11050.1	10981.8	11044.1	7065	0	27
2023.01.03	11:00:00	11044.1	11084.1	11041.1	11084.1	5031	0	27
2023.01.03	12:00:00	11084.6	11087.6	11039.9	11060.8	2506	0	27
2023.01.03	13:00:00	11059.9	11065.7	10972.6	10996.1	3786	0	27
2023.01.03	14:00:00	10995.6	11025.1	10970.3	11014.3	4193	0	27
2023.01.03	15:00:00	11014.1	11044.4	10979.3	11033.7	4949	0	27
2023.01.03	16:00:00	11033.8	11099.7	10909.4	10911.8	14681	0	15
2023.01.03	17:00:00	10911.9	10934.2	10831.8	10893.2	15911	0	15
2023.01.03	18:00:00	10892.7	10904.1	10780.9	10795.6	12047	0	15
2023.01.03	19:00:00	10795.9	10830.0	10768.0	10793.4	8574	0	15
2023.01.03	20:00:00	10792.6	10841.8	10774.6	10836.9	8143	0	15
2023.01.03	21:00:00	10837.3	10885.4	10793.1	10859.8	9959	0	15
2023.01.03	22:00:00	10860.3	10894.4	10849.9	10865.1	10378	0	15
2023.01.03	23:00:00	10864.6	10868.9	10843.5	10864.0	1097	0	15
2023.01.04	01:00:00	10849.7	10869.4	10849.7	10869.2	891	0	27
2023.01.04	02:00:00	10869.3	10882.9	10865.9	10869.9	1392	0	27
2023.01.04	03:00:00	10870.2	10905.1	10868.9	10897.7	1540	0	27
2023.01.04	04:00:00	10898.1	10903.7	10877.4	10877.9	866	0	27
2023.01.04	05:00:00	10877.9	10894.6	10873.2	10885.4	938	0	27
2023.01.04	06:00:00	10885.9	10903.9	10883.7	10903.4	691	0	27
2023.01.04	07:00:00	10903.2	10908.7	10889.2	10897.8	850	0	27
2023.01.04	08:00:00	10897.7	10903.8	10885.4	10902.7	1019	0	27
2023.01.04	09:00:00	10902.4	10923.4	10897.2	10917.3	1455	0	27
2023.01.04	10:00:00	10917.4	10971.2	10914.7	10939.7	3645	0	27
2023.01.04	11:00:00	10939.4	10943.8	10914.3	10923.6	2718	0	27
2023.01.04	12:00:00	10924.7	10944.6	10892.8	10915.3	2436	0	27
2023.01.04	13:00:00	10914.7	10948.2	10913.4	10930.4	2706	0	27
2023.01.04	14:00:00	10930.7	10931.9	10892.9	10911.1	3296	0	27
2023.01.04	15:00:00	10912.4	10967.7	10907.3	10944.3	2990	0	27
2023.01.04	16:00:00	10945.2	10966.7	10875.5	10902.3	14027	0	15
2023.01.04	17:00:00	10902.3	10937.5	10784.3	10886.5	19560	0	15
2023.01.04	18:00:00	10885.3	10987.9	10862.3	10967.5	11673	0	15
