<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.01.02	2672.3	2693.3	2672.0	2691.3	3943	7704	0
2018.01.03	2691.1	2711.9	2689.8	2706.7	2807	5163	0
2018.01.04	2708.1	2726.6	2706.3	2722.5	3014	5692	0
2018.01.05	2722.9	2740.9	2721.6	2739.9	3482	6709	0
2018.01.08	2739.9	2746.1	2734.5	2744.8	2824	5167	0
2018.01.09	2744.8	2757.6	2740.6	2747.9	3289	6352	0
2018.01.10	2747.4	2749.6	2734.3	2748.4	5748	11206	0
2018.01.11	2747.6	2768.3	2745.6	2767.6	2985	6096	0
2018.01.12	2766.9	2787.8	2765.0	2787.2	4029	7746	0
2018.01.13	2787.2	2787.2	2787.2	2787.2	1	0	0
2018.01.15	2789.7	2795.4	2788.8	2792.8	2100	4199	0
2018.01.16	2792.9	2806.7	2767.4	2781.3	7021	14325	0
2018.01.17	2780.7	2807.4	2777.1	2801.9	6582	12937	0
2018.01.18	2801.4	2805.9	2791.9	2795.0	7283	13827	0
2018.01.19	2795.2	2813.1	2789.9	2810.9	5348	9931	0
2018.01.22	2803.2	2836.2	2800.1	2833.7	4159	7567	0
2018.01.23	2833.6	2842.7	2826.9	2836.2	5772	11719	0
2018.01.24	2834.9	2853.2	2823.6	2839.0	8911	17639	0
2018.01.25	2837.4	2851.7	2829.0	2840.4	8438	16889	0
2018.01.26	2840.7	2873.9	2839.4	2872.7	5721	11369	0
2018.01.29	2872.1	2876.4	2849.6	2850.9	11165	20036	0
2018.01.30	2852.1	2855.8	2816.6	2821.2	21711	38238	0
2018.01.31	2822.1	2837.9	2811.3	2824.7	19235	33659	0
2018.02.01	2828.1	2835.6	2807.8	2822.1	21781	37774	0
2018.02.02	2826.3	2829.1	2753.6	2755.6	38144	67663	0
2018.02.05	2754.6	2761.1	2594.0	2613.6	144877	238683	0
2018.02.06	2624.1	2698.1	2527.6	2683.1	417362	652199	0
2018.02.07	2685.5	2725.1	2658.8	2666.5	149661	237249	0
2018.02.08	2665.1	2684.8	2575.5	2592.6	197650	318269	0
2018.02.09	2593.3	2636.2	2528.9	2620.1	261876	420254	0
2018.02.12	2623.7	2670.4	2618.8	2651.3	97267	161450	0
2018.02.13	2651.8	2666.1	2633.5	2661.7	61958	100405	0
2018.02.14	2661.8	2700.4	2625.7	2694.9	75747	127086	0
2018.02.15	2694.2	2735.6	2687.5	2734.0	49506	81912	0
2018.02.16	2733.7	2753.6	2721.2	2735.3	53556	87946	0
2018.02.19	2734.8	2746.5	2718.7	2727.7	14247	20920	0
2018.02.20	2728.5	2736.7	2704.9	2714.5	53814	83673	0
2018.02.21	2713.9	2746.8	2692.7	2697.3	53603	88428	0
2018.02.22	2696.8	2729.9	2681.1	2713.0	53750	86997	0
2018.02.23	2712.1	2749.3	2709.0	2745.2	42104	65757	0
2018.02.26	2750.8	2785.0	2741.7	2783.6	27356	42536	0
2018.02.27	2783.3	2788.9	2741.3	2745.6	55260	92306	0
2018.02.28	2746.3	2760.9	2711.2	2718.3	59187	98174	0
2018.03.01	2718.2	2730.2	2657.9	2678.8	126986	210756	0
2018.03.02	2678.4	2695.4	2646.6	2689.6	100010	167754	0
2018.03.05	2682.9	2727.2	2663.4	2718.5	63061	103300	0
2018.03.06	2718.7	2733.9	2709.9	2723.2	48103	80393	0
2018.03.07	2692.1	2729.7	2680.9	2721.6	49987	85758	0
2018.03.08	2722.3	2739.9	2719.6	2737.9	34434	58346	0
2018.03.09	2736.1	2786.6	2729.6	2783.2	34431	52382	0
2018.03.12	2784.4	2800.1	2778.6	2782.9	12523	37457	0
2018.03.13	2782.4	2802.1	2758.1	2764.3	14329	67441	0
2018.03.14	2762.1	2779.1	2743.1	2750.1	17748	73466	0
2018.03.15	2750.4	2762.1	2739.8	2752.9	15160	63893	0
2018.03.16	2752.9	2760.9	2745.1	2750.3	12306	44684	0
2018.03.19	2749.4	2750.6	2692.1	2717.7	17128	84174	0
2018.03.20	2716.5	2724.2	2707.9	2718.7	14576	53902	0
2018.03.21	2718.7	2738.5	2707.4	2712.7	14269	80342	0
2018.03.22	2713.2	2721.4	2636.9	2640.8	23021	137090	0
2018.03.23	2640.4	2653.7	2581.1	2591.6	31016	196931	0
2018.03.26	2590.4	2657.9	2586.1	2655.0	24003	126407	0
