年月,標的碼,標的名稱,投資股數(千股),投資比率％,投資金額(千元),持股數/流通在外股數%,個股月報酬率％,ISIN
2024/03,2454,聯發科,12279,4.86,14673777,0.77,4.8246,TW0002454006
2024/03,2603,長榮,8250,0.47,1419069,0.38,3.9278,TW0002603008
2024/03,2801,彰銀,56096,0.34,1026561,0.52,2.809,TW0002801008
2024/03,2880,華南金,83471,0.64,1932349,0.61,5.2272,TW0002880002
2024/03,2881,富邦金,63678,1.47,4438365,0.49,2.5,TW0002881000
2024/03,2882,國泰金,75715,1.22,3683541,0.52,7.9909,TW0002882008
2024/03,2883,開發金,129862,0.6,1811577,0.77,11.1556,TW0002883006
2024/03,2884,玉山金,122988,1.11,3351418,0.79,7.9209,TW0002884004
2024/03,2885,元大金,100312,1.01,3049489,0.79,10.7469,TW0002885001
2024/03,2886,兆豐金,94562,1.27,3834505,0.66,4.7803,TW0002886009
2024/03,2887,台新金,97288,0.58,1751191,0.78,3.4483,TW0002887007
2024/03,2890,永豐金,94832,0.68,2053121,0.77,7.7114,TW0002890001
2024/03,2891,中信金,150736,1.65,4981838,0.77,12.415,TW0002891009
2024/03,2892,第一金,88290,0.81,2445629,0.65,2.2142,TW0002892007
2024/03,2912,統一超,4645,0.41,1237911,0.45,-1.1132,TW0002912003
2024/03,3008,大立光,840,0.68,2053121,0.63,-4.041,TW0003008009
2024/03,3034,聯詠,4699,0.94,2838138,0.77,0.4991,TW0003034005
2024/03,3037,欣興,10749,0.68,2053121,0.7,6.4067,TW0003037008
2024/03,3045,台灣大,14950,0.51,1539841,0.4,4.0403,TW0003045001
2024/03,3231,緯創,23671,0.98,2958910,0.82,8.2249,TW0003231007
2024/03,3661,世芯-KY,588,0.65,1962542,0.74,-19.3237,KYG022421088
2024/03,3711,日月光投控,28130,1.5,4528943,0.64,15.8272,TW0003711008
2024/03,4904,遠傳,14448,0.39,1177525,0.4,3.5577,TW0004904008
2024/03,4938,和碩,16873,0.57,1720999,0.63,19.298,TW0004938006
2024/03,5871,中租-KY,11586,0.66,1992735,0.72,-1.4328,KYG202881093
2024/03,5876,上海商銀,30599,0.49,1479455,0.63,7.4444,TW0005876007
2024/03,5880,合庫金,87583,0.76,2294665,0.6,0.9634,TW0005880009
2024/03,6505,台塑化,11295,0.26,785017,0.12,-6.4602,TW0006505001
2024/03,6669,緯穎,718,0.54,1630420,0.41,-2.5752,TW0006669005
2024/03,M1100,水泥工業,,0.58,1751191,,1.1053,
2024/03,M1200,食品工業,,1.02,3079682,,1.8505,
2024/03,M1300,塑膠工業,,2.01,6068784,,-4.6368,
2024/03,M1500,電機機械,,0.42,1268104,,11.8483,
2024/03,M2000,鋼鐵工業,,0.81,2445629,,-1.7578,
2024/03,M2200,汽車工業,,0.57,1720999,,-0.7126,
2024/03,M2300,電子工業,,79.29,239399950,,9.2822,
2024/03,M2600,航運業,,0.47,1419069,,-1.7881,
2024/03,M2800,金融業(合計),,12.63,38133704,,6.3452,
2024/03,M2900,貿易百貨,,0.41,1237911,,0.6381,
2024/03,M9700,油電燃氣業,,0.26,785017,,-6.0274,
2024/03,M9900,其他,,0.66,1992735,,-1.1667,
2024/03,MTSE,國內上市,,99.13,299302775,,6.9999,
2024/03,TT99,基金總規模,,,301929562,,,
2024/02,2303,聯電,106956,1.73,5224793,0.85,-0.3061,TW0002303005
2024/02,2308,台達電,19700,1.92,5801694,0.76,5.1786,TW0002308004
2024/02,2317,鴻海,100138,3.42,10314249,0.72,0.4876,TW0002317005
2024/02,2330,台積電,220455,50.38,152114060,0.85,9.8725,TW0002330008
2024/02,2382,廣達,24262,1.86,5628818,0.63,-6.0729,TW0002382009
2024/02,2412,中華電,34683,1.38,4179301,0.45,1.2604,TW0002412004
2024/02,2454,聯發科,13572,5.12,15472458,0.85,18.0125,TW0002454006
2024/02,2881,富邦金,70609,1.59,4801390,0.54,5.4263,TW0002881000
2024/02,2891,中信金,166171,1.62,4885433,0.85,3.3392,TW0002891009
2024/02,3711,日月光投控,31154,1.43,4330373,0.71,2.206,TW0003711008
2024/02,M2300,電子工業,,67.26,203065747,,7.261,
2024/02,M2800,金融業(合計),,3.21,9686822,,2.8429,
2024/02,MTSE,國內上市,,70.47,212752569,,6.0213,
2024/02,TT99,基金總規模,,,301913172,,,
2024/01,2303,聯電,110937,1.86,5435891,0.89,-6.8441,TW0002303005
2024/01,2308,台達電,20433,1.95,5721324,0.79,-10.6859,TW0002308004
2024/01,2317,鴻海,104188,3.65,10679319,0.75,-1.9137,TW0002317005
2024/01,2330,台積電,228606,49.01,143564394,0.88,5.9022,TW0002330008
2024/01,2382,廣達,25165,2.12,6215777,0.65,10.0221,TW0002382009
2024/01,2412,中華電,35974,1.46,4280878,0.46,-0.8332,TW0002412004
2024/01,2454,聯發科,14077,4.64,13598772,0.88,-2.3047,TW0002454006
2024/01,2881,富邦金,73226,1.61,4723095,0.56,-0.4629,TW0002881000
2024/01,2891,中信金,172367,1.67,4903841,0.88,0.3527,TW0002891009
2024/01,3711,日月光投控,32313,1.5,4394599,0.74,0.7409,TW0003711008
2024/01,M2300,電子工業,,66.19,193890954,,1.6066,
2024/01,M2800,金融業(合計),,3.29,9626936,,-2.7609,
2024/01,MTSE,國內上市,,69.48,203517890,,-0.2299,
2024/01,TT99,基金總規模,,,292916436,,,
